id,name,sex
1,A Dijiang
2,A Lamusi
3,Gunnar Nielsen Aaby
4,Edgar Lindenau Aabye
5,Christine Jacoba Aaftink
6,Per Knut Aaland
7,John Aalberg
8,"Cornelia ""Cor"" Aalten (-Strannood)"
9,Antti Sami Aalto
10,"Einar Ferdinand ""Einari"" Aalto"
11,Jorma Ilmari Aalto
12,Jyri Tapani Aalto
13,Minna Maarit Aalto
14,Pirjo Hannele Aalto (Mattila-)
15,Arvo Ossian Aaltonen
16,Juhamatti Tapio Aaltonen
17,Paavo Johannes Aaltonen
18,Timo Antero Aaltonen
19,Win Valdemar Aaltonen
20,Kjetil Andr Aamodt
21,Ragnhild Margrethe Aamodt
22,Andreea Aanei
23,Fritz Aanes
24,Nils Egil Aaness
25,Alf Lied Aanning
26,Agnes Erika Aanonsen (-Eyde)
27,Johan Aantjes
28,Jan-Erik Aarberg
29,Willemien Aardenburg
30,Pepijn Aardewijn
31,Evald rma (rman-)
32,Olav Augunson Aarnes
33,Mika Lauri Aarnikka
34,Jamale (Djamel-) Aarrass (Ahrass-)
35,Dagfinn Sverre Aarskog
36,Stefan Remco Aartsen
37,Ann Kristin Aarnes
38,Karl Jan Aas
39,Lars Thorlaksn Aas
40,Roald Edgar Aas
41,Rolf Aas
42,Thomas Valentin Aas
43,Morten Gjerdrum Aasen
44,Meelis Aasme
45,Hakon Aasns
46,Hans Aasns
47,Erling Rudolf Aastad
48,Abdelhak Aatakni
49,Moonika Aava
50,Arvi Aavik
51,Nstor Abad Sanjun
52,Patrick Abada
53,Talaat Abada
54,Mohamed Jamshid Abadi
55,Antonio Abadia Beci
56,Ren Abadie
57,Borislav Abadzhiev
58,Georgi Abadzhiev
59,Ivan Nikolov Abadzhiev
60,Mikhail Abadzhiev
61,Stefan Abadzhiev
62,Giovanni Abagnale
63,Jos Luis Abajo Gmez
64,M'Bairo Abakar
65,Patimat Abakarova
66,Mohamed Abakkar
67,Mariya Vasilyevna Abakumova (-Tarabina)
68,Pablo Martn Abal
69,Tamara Abalde Daz
70,Jess Iory Aball Martnez
71,Juan Antonio Aball Delgado
72,Aleksey Aleksandrovich Abalmasov
73,Luc Abalo
74,Mara Laura Abalo
75,Giorgos Abalof
76,Jouan Patrice Abanda Etong
77,Antoine Abang
78,Salim Abanoz
79,Carlos Abarca Gonzlez
80,Jos Mara Abarca Plotas
81,Georgios Abaris
82,Enrique Abaroa Martnez
83,Carlos Arturo Abarza Chavez
84,Stephen Anthony Abas
85,Alejandro Abascal Garca
86,Jos Manuel Abascal Gmez
87,Rost'om Omeris dze Abashidze
88,Nunu Dzhansuhivna Abashydze (-Myslaieva)
89,Rodrigo Abasolo
90,Tamila Rashidovna Abasova
91,Emanuele Abate
92,Ignazio Abate
93,Jol Marc Abati
94,Ral Abatte
95,Georgia Abatzidou
96,Carlos Rodolfo Abaunza Balladares
97,Carlos Alberto Abaunza
98,Hctor Abaunza
99,Pter Abay
100,Oszkr Abay-Nemes
101,Adeyemi Abayomi
102,Sayed Fahmy Abaza
103,Silvano Abba
104,Gana Abba Kimet
105,Ilyas Abbadi
106,Agostino Abbagnale
107,Carmine Abbagnale
